published_date,close
2020-10-22,212.76
2020-10-28,216.83333333333334
2020-10-29,213.08
2020-11-01,215.72
2020-11-02,215.32
2020-11-03,216.28
2020-11-04,218.6
2020-11-05,223.12
2020-11-08,230.72
2020-11-09,227.16
2020-11-10,226.76
2020-11-11,227.84
2020-11-12,225.48
2020-11-18,219.6
2020-11-19,224.12
2020-11-22,221.56
2020-11-23,222.12
2020-11-24,227.36
2020-11-25,230.12
2020-11-26,229.36
2020-11-29,230.28
2020-11-30,240.8
2020-12-01,240.08
2020-12-02,244.44
2020-12-03,239.36
2020-12-06,227.24
2020-12-07,236.08
2020-12-08,240.92
2020-12-09,239.28
2020-12-10,236.56
2020-12-13,234.70833333333334
2020-12-14,231.32
2020-12-15,229.75
2020-12-16,228.875
2020-12-17,226.83333333333334
2020-12-20,213.68
2020-12-21,216.56
2020-12-22,223.68
2020-12-23,220.28
2020-12-24,218.24
2020-12-27,214.16
2020-12-28,213.8
2020-12-29,212.04
2020-12-30,211.24
2020-12-31,211.72
2021-01-03,213.0
2021-01-04,214.52
2021-01-05,221.92
2021-01-06,220.12
2021-01-07,220.48
2021-01-10,220.95833333333334
2021-01-11,221.6
2021-01-12,224.04
2021-01-13,227.12
2021-01-17,227.16
2021-01-18,228.28
2021-01-19,227.96
2021-01-20,232.92
2021-01-21,240.48
2021-01-24,244.48
2021-01-25,244.08
2021-01-26,243.8
2021-01-27,244.4
2021-01-28,240.44
2021-01-31,234.56
2021-02-01,238.16
2021-02-02,241.56
2021-02-03,246.4
2021-02-04,256.64
2021-02-07,266.72
2021-02-08,265.44
2021-02-09,277.4736842105263
2021-02-10,275.0
2021-02-11,261.82608695652175
2021-02-14,259.82608695652175
2021-02-15,262.6
2021-02-16,257.4
2021-02-17,255.12
2021-02-18,257.4
2021-02-21,263.96
2021-02-22,266.56
2021-02-23,267.48
2021-02-24,264.32
2021-02-25,261.04
2021-02-28,251.12
2021-03-01,256.52
2021-03-02,251.0
2021-03-03,251.0
2021-03-04,261.56
2021-03-07,261.6
2021-03-09,266.92
2021-03-10,269.68
2021-03-14,264.84
2021-03-15,264.44
2021-03-16,260.44
2021-03-17,265.72
2021-03-18,265.24
2021-03-21,265.44
2021-03-22,265.36
2021-03-23,273.2
2021-03-24,275.64
2021-03-25,270.76
2021-03-29,269.44
2021-03-30,272.84
2021-03-31,273.04
2021-04-01,279.04
2021-04-04,287.4
2021-04-05,289.56
2021-04-06,306.76
2021-04-07,301.4
2021-04-08,297.0
2021-04-12,293.84
2021-04-13,297.8
2021-04-15,299.36
2021-04-18,300.64
2021-04-19,297.76
2021-04-20,304.6
2021-04-21,302.92
2021-04-22,303.44
2021-04-25,292.12
2021-04-26,280.56
2021-04-27,294.64
2021-04-28,292.76
2021-04-29,301.16
2021-05-02,307.36
2021-05-03,307.72
2021-05-04,318.08
2021-05-05,330.64
2021-05-06,327.88
2021-05-09,319.44
2021-05-10,321.52
2021-05-11,326.72
2021-05-12,334.8
2021-05-13,342.04
2021-05-16,345.0
2021-05-17,359.24
2021-05-18,384.76
2021-05-19,377.24
2021-05-20,370.68
2021-05-23,381.48
2021-05-24,384.84
2021-05-25,402.72
2021-05-27,433.96
2021-05-30,443.4
2021-05-31,422.56
2021-06-01,422.08
2021-06-02,434.36
2021-06-03,422.08
2021-06-06,416.4583333333333
2021-06-07,433.9583333333333
2021-06-08,448.5833333333333
2021-06-09,451.4583333333333
2021-06-10,472.2083333333333
2021-06-13,507.0833333333333
2021-06-14,502.72
2021-06-15,488.32
2021-06-16,461.04
2021-06-17,464.36
2021-06-20,442.08
2021-06-21,419.52
2021-06-22,454.96
2021-06-23,451.0
2021-06-24,446.36
2021-06-27,445.68
2021-06-28,435.52
2021-06-29,411.08
2021-06-30,412.16
2021-07-01,417.52
2021-07-04,414.28
2021-07-05,408.84
2021-07-06,403.84
2021-07-07,398.48
2021-07-08,405.84
2021-07-11,427.04
2021-07-12,416.0
2021-07-13,420.76
2021-07-14,432.92
2021-07-15,443.2
2021-07-18,455.236
2021-07-19,460.92400000000004
2021-07-20,470.736
2021-07-22,474.968
2021-07-25,498.624
2021-07-26,512.068
2021-07-27,537.284
2021-07-28,527.884
2021-07-29,527.7
2021-08-01,548.38
2021-08-02,547.016
2021-08-03,561.492
2021-08-04,588.408
2021-08-05,576.344
2021-08-08,600.924
2021-08-09,628.24
2021-08-10,617.2959999999999
2021-08-11,637.352
2021-08-12,633.82
2021-08-15,608.768
2021-08-16,620.748
2021-08-17,646.816
2021-08-18,661.132
2021-08-19,632.548
2021-08-24,580.52
2021-08-25,573.548
2021-08-26,606.624
2021-08-29,595.124
2021-08-31,572.592
2021-09-01,569.068
2021-09-02,549.404
2021-09-05,496.63599999999997
2021-09-06,545.316
2021-09-07,539.748
2021-09-08,530.368
2021-09-09,544.712
2021-09-12,584.04
2021-09-13,568.28
2021-09-14,561.568
2021-09-15,550.884
2021-09-16,525.644
2021-09-20,485.236
2021-09-21,489.45599999999996
2021-09-22,521.4159999999999
2021-09-23,508.00800000000004
2021-09-26,484.032
2021-09-27,462.22
2021-09-28,433.676
2021-09-29,457.9
2021-09-30,440.51199999999994
2021-10-03,417.86400000000003
2021-10-04,403.164
2021-10-05,418.156
2021-10-06,430.05199999999996
2021-10-10,422.42
2021-10-11,416.056
2021-10-17,419.168
2021-10-18,400.184
2021-10-19,377.976
2021-10-20,397.376
2021-10-21,393.12800000000004
2021-10-24,407.51199999999994
2021-10-25,439.972
2021-10-26,468.86400000000003
2021-10-27,470.452
2021-10-28,486.936
2021-10-31,516.664
2021-11-01,501.98400000000004
2021-11-02,509.848
2021-11-03,508.98400000000004
2021-11-08,503.416
2021-11-09,480.064
2021-11-11,461.228
2021-11-14,467.644
2021-11-15,479.816
2021-11-16,499.76
2021-11-17,501.532
2021-11-18,489.37199999999996
2021-11-21,491.204
2021-11-22,491.08
2021-11-23,477.648
2021-11-24,482.73199999999997
2021-11-25,479.01599999999996
2021-11-28,455.204
2021-11-29,456.592
2021-11-30,458.64
